id,Start_X,Start_Y,End_X,End_Y
,-114.263,52.316,-114.264,52.327
,-113.738,51.667,-113.706,51.669
,-113.706,51.669,-113.699,51.640
,-113.699,51.640,-113.727,51.638
,-113.727,51.638,-113.738,51.667
,-114.213,51.511,-114.181,51.473
,-114.181,51.473,-114.082,51.400
,-114.082,51.400,-114.040,51.350
,-114.040,51.350,-114.036,51.319
,-114.036,51.319,-114.176,51.365
,-114.176,51.365,-114.208,51.410
,-114.208,51.410,-114.266,51.481
,-114.266,51.481,-114.213,51.511
,-114.039,50.794,-114.016,50.793
,-114.014,50.792,-114.010,50.780
,-114.010,50.780,-114.037,50.769
,-114.037,50.769,-114.039,50.794
,-114.809,50.947,-114.798,50.948
,-114.798,50.948,-114.797,50.939
,-114.797,50.939,-114.808,50.939
,-114.808,50.939,-114.809,50.947
,-114.660,51.017,-114.609,50.995
,-114.609,50.995,-114.604,51.055
,-114.604,51.055,-114.643,51.052
,-114.643,51.052,-114.660,51.017
,-115.606,52.380,-115.572,52.359
,-115.572,52.359,-115.580,52.333
,-115.580,52.333,-115.607,52.337
,-115.607,52.337,-115.606,52.380
,-115.186,52.631,-115.162,52.641
,-115.162,52.641,-115.158,52.607
,-115.189,52.600,-115.158,52.607
,-115.189,52.600,-115.186,52.631
,-114.928,53.258,-114.904,53.258
,-114.904,53.258,-114.928,53.227
,-114.928,53.227,-114.944,53.228
,-114.944,53.228,-114.928,53.258
,-114.765,53.300,-114.805,53.269
,-114.805,53.269,-114.810,53.227
,-114.810,53.227,-114.739,53.225
,-114.739,53.225,-114.724,53.258
,-114.724,53.258,-114.727,53.309
,-114.727,53.309,-114.765,53.300
,-113.914,53.530,-113.886,53.484
,-113.886,53.484,-113.855,53.504
,-113.855,53.504,-113.860,53.532
,-113.860,53.532,-113.914,53.530
,-115.734,53.948,-115.716,53.944
,-115.716,53.944,-115.709,53.925
,-115.709,53.925,-115.724,53.924
,-115.724,53.924,-115.734,53.948
,-114.327,53.778,-114.302,53.779
,-114.302,53.779,-114.303,53.742
,-114.303,53.742,-114.324,53.750
,-114.324,53.750,-114.327,53.778
,-114.552,53.970,-114.504,53.970
,-114.504,53.970,-114.496,53.957
,-114.496,53.957,-114.493,53.930
,-114.493,53.930,-114.542,53.935
,-114.542,53.935,-114.552,53.970
,-113.466,54.052,-113.423,54.049
,-113.423,54.049,-113.422,54.026
,-113.422,54.026,-113.428,54.020
,-113.428,54.020,-113.467,54.022
,-113.467,54.022,-113.466,54.052
,-113.212,53.966,-113.197,53.966
,-113.197,53.966,-113.197,53.952
,-113.197,53.952,-113.219,53.941
,-113.219,53.941,-113.219,53.957
,-113.219,53.957,-113.212,53.966
,-113.172,54.336,-113.116,54.337
,-113.116,54.337,-113.104,54.319
,-113.104,54.319,-113.156,54.314
,-113.156,54.314,-113.174,54.320
,-113.174,54.320,-113.172,54.336
,-112.835,54.566,-112.802,54.528
,-112.802,54.528,-112.821,54.467
,-112.821,54.467,-112.882,54.468
,-112.882,54.468,-112.905,54.530
,-112.901,54.533,-112.835,54.566
,-113.878,54.809,-113.862,54.807
,-113.862,54.807,-113.868,54.790
,-113.868,54.790,-113.877,54.777
,-113.877,54.777,-113.885,54.776
,-113.885,54.776,-113.894,54.794
,-113.894,54.794,-113.878,54.809
,-114.643,54.692,-114.613,54.706
,-114.613,54.706,-114.612,54.719
,-114.612,54.719,-114.622,54.739
,-114.649,54.742,-114.622,54.739
,-114.649,54.742,-114.664,54.729
,-114.664,54.729,-114.664,54.714
,-114.664,54.714,-114.643,54.692
,-113.713,53.745,-113.684,53.748
,-113.684,53.748,-113.693,53.728
,-113.713,53.745,-113.693,53.728
,-115.897,54.720,-115.851,54.731
,-115.851,54.731,-115.852,54.680
,-115.852,54.680,-115.895,54.681
,-115.895,54.681,-115.897,54.720
,-115.533,55.280,-115.534,55.257
,-115.534,55.257,-115.511,55.243
,-115.511,55.243,-115.488,55.243
,-115.488,55.243,-115.488,55.268
,-115.488,55.268,-115.503,55.291
,-115.503,55.291,-115.533,55.280
,-117.109,56.229,-117.098,56.229
,-117.098,56.229,-117.098,56.223
,-117.098,56.223,-117.091,56.223
,-117.091,56.223,-117.092,56.208
,-117.092,56.208,-117.120,56.208
,-117.120,56.208,-117.121,56.223
,-117.121,56.223,-117.109,56.223
,-117.109,56.223,-117.109,56.229
,-116.964,56.269,-116.965,56.240
,-116.965,56.240,-116.958,56.239
,-116.958,56.239,-116.959,56.217
,-116.946,56.215,-116.959,56.217
,-116.946,56.215,-116.924,56.223
,-116.924,56.223,-116.919,56.233
,-116.919,56.233,-116.919,56.249
,-116.919,56.249,-116.919,56.281
,-116.919,56.281,-116.911,56.281
,-116.911,56.290,-116.911,56.281
,-116.911,56.290,-116.921,56.289
,-116.921,56.289,-116.928,56.277
,-116.928,56.277,-116.941,56.275
,-116.941,56.275,-116.942,56.268
,-116.949,56.268,-116.942,56.268
,-116.949,56.268,-116.948,56.280
,-116.948,56.280,-116.956,56.280
,-116.956,56.280,-116.957,56.269
,-116.957,56.269,-116.964,56.269
,-117.557,56.131,-117.528,56.131
,-117.528,56.131,-117.528,56.093
,-117.528,56.093,-117.551,56.095
,-117.551,56.095,-117.551,56.102
,-117.551,56.102,-117.557,56.102
,-117.557,56.102,-117.557,56.131
,-117.094,56.967,-117.078,56.967
,-117.078,56.967,-117.078,56.946
,-117.078,56.946,-117.094,56.946
,-117.094,56.946,-117.094,56.967
,-116.791,58.561,-116.740,58.560
,-116.740,58.560,-116.740,58.545
,-116.740,58.545,-116.769,58.516
,-116.769,58.516,-116.792,58.516
,-116.792,58.516,-116.791,58.561
,-116.398,58.223,-116.378,58.223
,-116.378,58.223,-116.378,58.213
,-116.378,58.213,-116.387,58.211
,-116.387,58.211,-116.385,58.204
,-116.385,58.204,-116.399,58.207
,-116.399,58.207,-116.398,58.223
,-113.699,56.830,-113.650,56.834
,-113.650,56.834,-113.601,56.760
,-113.601,56.760,-113.595,56.703
,-113.595,56.703,-113.613,56.703
,-113.613,56.703,-113.652,56.776
,-113.652,56.776,-113.673,56.758
,-113.673,56.758,-113.695,56.765
,-113.695,56.765,-113.719,56.795
,-113.719,56.795,-113.699,56.830
,-116.528,53.591,-116.463,53.592
,-116.463,53.592,-116.463,53.575
,-116.463,53.575,-116.542,53.553
,-116.542,53.553,-116.543,53.584
,-116.543,53.584,-116.529,53.584
,-116.529,53.584,-116.528,53.591
,-117.163,53.448,-117.162,53.432
,-117.146,53.438,-117.162,53.432
,-117.146,53.438,-117.168,53.409
,-117.168,53.409,-117.188,53.398
,-117.188,53.398,-117.184,53.375
,-117.184,53.375,-117.211,53.373
,-117.211,53.373,-117.214,53.362
,-117.226,53.378,-117.214,53.362
,-117.226,53.378,-117.226,53.396
,-117.226,53.396,-117.163,53.448
,-115.649,53.209,-115.640,53.209
,-115.640,53.209,-115.641,53.202
,-115.641,53.202,-115.651,53.201
,-115.651,53.201,-115.649,53.156
,-115.621,53.156,-115.649,53.156
,-115.621,53.156,-115.620,53.188
,-115.620,53.188,-115.613,53.188
,-115.613,53.188,-115.613,53.207
,-115.599,53.208,-115.613,53.207
,-115.599,53.208,-115.599,53.230
,-115.599,53.230,-115.626,53.230
,-115.626,53.230,-115.629,53.223
,-115.650,53.223,-115.649,53.209
,-115.650,53.223,-115.629,53.223
,-114.687,52.964,-114.663,52.935
,-114.663,52.935,-114.627,52.978
,-114.627,52.978,-114.647,52.988
,-114.647,52.988,-114.687,52.964
,-114.717,53.095,-114.695,53.088
,-114.695,53.088,-114.708,53.072
,-114.732,53.071,-114.708,53.072
,-114.732,53.071,-114.737,53.080
,-114.737,53.080,-114.717,53.095
,-114.559,51.699,-114.543,51.693
,-114.543,51.693,-114.542,51.678
,-114.542,51.678,-114.572,51.678
,-114.572,51.678,-114.572,51.692
,-114.572,51.692,-114.559,51.699
,-114.771,51.309,-114.755,51.316
,-114.755,51.316,-114.753,51.292
,-114.753,51.292,-114.769,51.292
,-114.769,51.292,-114.771,51.309
,,,,
,-115.384,51.773,-115.430,51.753
,-115.430,51.797,-115.384,51.773
,-115.430,51.797,-115.430,51.753
